,Air Fry,Convection,Griddle,Self Clean,Smart enabled,Steam Clean,WiFi
0,1,0,0,1,1,0,0
1,0,1,0,1,1,1,1
2,0,0,0,0,1,1,0
3,1,0,0,0,1,1,0
4,1,1,1,1,1,1,1
5,1,0,1,0,1,0,0
6,0,0,1,0,1,0,1
7,1,1,0,1,1,1,1
8,0,1,1,1,1,1,0
9,0,0,1,0,0,0,1
10,1,0,1,1,1,0,0
11,1,1,1,1,0,1,0
12,1,0,1,0,1,1,0
13,1,1,0,1,1,0,1
14,1,0,0,1,0,1,0
15,0,1,0,0,1,0,0
16,1,1,0,0,1,1,0
17,1,0,0,0,1,1,1
18,1,0,1,1,0,0,1
19,1,1,1,1,0,1,1
20,0,0,1,0,1,1,1
21,1,1,1,0,1,1,0
22,0,1,0,0,1,0,0
23,1,0,1,0,0,1,0
24,0,0,0,0,1,0,1
25,0,1,0,1,1,0,0
26,1,0,1,1,0,0,0
27,0,0,0,0,1,0,1
28,1,1,0,0,0,0,0
29,1,0,1,1,1,1,1
30,0,1,1,0,1,0,1
31,1,1,0,0,0,0,0
32,0,1,0,1,0,0,0
33,0,1,1,1,0,1,0
34,1,1,0,0,0,1,1
35,1,1,0,1,0,1,0
36,0,0,0,0,0,0,1
37,1,0,0,1,0,1,1
38,1,1,1,1,1,1,1
39,0,1,0,1,0,0,0
40,0,1,1,1,0,0,1
41,1,0,0,1,1,0,1
42,1,1,0,0,1,1,0
43,0,0,0,0,1,1,0
44,0,1,0,1,1,0,0
45,1,0,0,1,1,1,0
46,0,0,1,1,1,0,0
47,0,0,1,1,0,0,1
48,0,0,1,1,1,1,1
49,1,1,1,1,1,1,1
50,0,0,1,1,1,1,1
51,1,1,1,1,1,1,0
52,1,0,0,1,0,1,1
53,0,0,0,1,1,1,1
54,1,0,0,0,1,1,0
55,1,1,1,1,0,1,1
56,1,1,0,1,0,0,1
57,1,1,0,1,1,0,0
58,0,1,1,1,1,0,0
59,1,0,0,0,1,1,0
60,1,0,0,1,1,1,1
61,0,0,0,0,1,0,1
62,1,1,1,1,1,1,1
63,1,0,1,1,1,0,1
64,0,0,0,1,0,0,1
65,0,1,1,1,1,1,0
66,0,1,0,0,1,0,0
